SamCat,sam,eps_mw,equivD13D,sdD,dDw,udDw,dD,d13,D18,1s,T18,uncT,C1/C1-5,WellT,d13C2,d13C3
StolpT,H1,-131.2690355,2.483197,0.26,-15,20,-144.3,-38.9,2.63,0.26,198,21,96,163,,
StolpT,H2,-116.5482234,2.632301,0.27,-15,20,-129.8,-35.2,2.79,0.27,185,21,99.9,190,,
StolpT,H3,-118.680203,2.837319,0.27,-15,20,-131.9,-36,3.01,0.27,169,19,99.7,170,,
StolpT,H4,-119.4923858,2.585706,0.26,-15,20,-132.7,-35.4,2.74,0.26,189,20,99.9,183,,
StolpT,H5,-116.9543147,2.399326,0.26,-15,20,-130.2,-35.4,2.54,0.26,207,22,99.9,187,,
StolpT,M1,-114.539749,2.706853,0.24,-44,10,-153.5,-35.8,2.87,0.24,179,18,96.9,60,,
StolpT,M2,-114.539749,2.706853,0.24,-44,10,-155.6,-35.8,2.54,0.26,207,22,97.2,62,,
StolpT,M3,-117.3640167,2.529792,0.25,-44,10,-156.2,-34.2,2.68,0.25,195,20,97.8,70,,
StolpT,P1,-117.8787879,2.250222,0.26,-10,20,-126.7,-37.4,2.38,0.26,221,24,84,106,-31.2,-29.3
StolpT,P2,-192.2222222,2.855957,0.27,-10,20,-200.3,-45.6,3.03,0.27,167,18,54.7,71,-38,-34.8
StolpT,P3,-181.8181818,2.669577,0.24,-10,20,-190,-44.3,2.83,0.24,182,18,69,63,-34.8,-32.3
StolpT,P4,-147.0707071,2.828,0.25,-10,20,-155.6,-42.2,3,0.25,169,18,75.6,63,-32.6,-29.8
StolpT,P5,-192.5252525,2.986423,0.24,-10,20,-200.6,-49.6,3.17,0.24,157,15,83.9,52,-41.7,-36.7
StolpT,P6,-176.1616162,2.632301,0.25,-10,20,-184.4,-44.2,2.79,0.25,185,19,58.3,73,-36.8,-34.2
StolpT,P7,-170.1010101,2.473878,0.26,-10,20,-178.4,-44.3,2.62,0.26,200,21,82.9,88,-36.8,-34.3
StolpT,P8,-160.8080808,2.725491,0.26,-10,20,-169.2,-45.4,2.89,0.26,178,19,77.5,68,-34.3,-31.5
StolpT,P9,-141.7171717,2.324774,0.26,-10,20,-150.3,-41.8,2.46,0.26,214,23,77.9,66,-32.9,-30.7
StolpB,GM1,-165.5555556,5.511872,0.26,-10,10,-173.9,-60.4,5.88,0.26,34,8,,42,,
StolpB,GM2,-165.3535354,5.120474,0.24,-10,20,-173.7,-58,5.46,0.24,48,8,,48,,
StolpB,A1,-182.0652174,5.325492,0.3,-80,20,-247.5,-50.2,5.68,0.3,40,10,99.99,,,
StolpT,A2,-171.9148936,3.638753,0.25,-60,10,-221.6,-53.2,3.87,0.25,115,13,88.9,,,
