SamCat	SamName	d13C_PDB	ud13C_PDB	dD_SMOW_preNGS	udD_SMOW	Del_stoch	uDel_stoch	T13D	dD_water	udD_w	a_mw_preNGS	Tenv	uTenv	H2_l	H2_u	dD_SMOW	a_mw	
Cow	Sally-1	-52.81	0.04	-344.18	0.04	1.46	0.71	330	-32	10	0.677493222	39	2	0.00000008	0.0000004	-342.56	0.679174476	
Cow	Sally-2-5	-54.15	0.05	-348.86	0.04	0.76	0.37	515	-32	10	0.67266636	39	2	0.00000008	0.0000004	-347.25	0.674323712	
NCM	"311-1325B-19X-4 (145-146) / Void, SB"	-68.50	0.10	-191.47	0.10	5.74	0.49	25	5	10	0.804502816	11.745	0.70169656	0.000000002	0.00000006	-189.48	0.806489943	
NCM	"311-1325C-6X-4 (17-18) / Void, SB"	-67.63	0.07	-190.40	0.07	5.22	0.29	42	5	10	0.805574994	16.3308	0.863005331	0.000000002	0.00000006	-188.40	0.80756477	
NCM	"311-1328E-2X-CC (0-10) / Hyd, SB"	-63.14	0.04	-195.24	0.04	6.14	0.21	13	5	10	0.80075196	3.44224	0.297498975	0.000000002	0.00000006	-193.26	0.802729823	
NCM	"311-1328E-2X-CC (0-10) / Hyd, Vac"	-61.63	0.08	-193.13	0.08	6.17	0.34	12	5	10	0.802855047	3.44224	0.297498975	0.000000002	0.00000006	-191.14	0.804838105	
PRB	DR_15W-17-08-41	-59.74	0.08	-294.49	0.12	5.42	0.34	35	-134.6413096	2	0.815281977	20.8				-292.75	0.817295729	
PRB	DR_3CA34	-62.03	0.10	-292.55	0.10	4.95	0.63	52	-130.1106856	2	0.813263091	20.3				-290.80	0.815271856	
PRB	DR_Visborg_13W-17-08-41	-58.58	0.10	-295.63	0.10	5.19	0.43	44	-142.2921553	2	0.821227784	19.4				-293.89	0.823256223	
SwampY	SwampY-1	-59.72	0.06	-323.84	0.06	0.47	0.33	660	-21	10	0.690668494	16	5			-322.17	0.69237445	
SwampY	SwampY-2	-59.25	0.06	-325.93	0.06	1.00	0.55	435	-21	10	0.688527181	16	5			-324.27	0.690227849	
SwampY	SwampY-5	-59.70	0.16	-331.79	0.10	0.32	0.05	775	-21	10	0.682436933	16	5			-330.14	0.684229062	
UML	UML 06/19/2014	-70.96	0.10	-266.78	0.10	3.22	0.43	139	-39	10	0.762973566	4	2			-264.97	0.764858116	
UML	UML 07/29/2014	-70.99	0.16	-270.74	0.16	3.13	0.67	145	-39	10	0.758860123	4	2			-268.93	0.760734513	
LML	LML-20m	-65.47	0.07	-291.56	0.07	0.98	0.35	440	-41	10	0.738726102	6	2			-289.81	0.740550761	
Cedars	"Cedars NS1D, 2013 June"	-67.97	0.12	-334.70	0.07	-2.43	0.62	#NUM!	-40	10	0.693020045	17	1	0.0001053	0.0001287	-333.06	0.694731809	
Cedars	"Cedars BSC, 2013 June"	-63.81	0.21	-343.60	0.16	-3.36	1.42	#NUM!	-37	10	0.681621793	17	1	0.0002808	0.0003432	-341.98	0.683305404	
Cedars	"Cedars BSC, 2014 July"	-64.39	0.05	-343.10	0.05	-2.93	0.24	#NUM!	-37	10	0.682135038	17	1	0.0002808	0.0003432	-341.48	0.683819916	
Kidd Creek	14.06.2012.KC.L9500_BHY13762_Gas D	-32.66	0.07	-422.16	0.07	4.38	0.80	76	-28.84	2	0.594996175	30	2	0.0008	0.008	-420.74	0.59646582	
Kidd Creek	29.11.2012.KC.L9500_BH2_Gas C	-32.28	0.07	-421.16	0.06	4.07	0.29	90	-28.84	2	0.59602456	30	2	0.0008	0.008	-419.74	0.597496744	
Kidd Creek	KC_12.02.2008_7850L_BH12299(E)	-39.11	0.11	-398.82	0.05	4.51	0.25	70	-36.3	5	0.623825458	30	2	0.0008	0.008	-397.33	0.625366311	
Kidd Creek	KC_12.01.2010_7850L_BH12299(F)	-39.73	0.06	-398.87	0.06	4.34	0.52	78	-36.3	5	0.623768214	30	2	0.0008	0.008	-397.39	0.625308926	
Kidd Creek	KC_01.03.2012_7850L_BH12299(F)	-40.19	0.02	-396.47	0.01	4.11	0.18	89	-36.3	5	0.62624406	30	2	0.0008	0.008	-394.98	0.627809597	
Kidd Creek	02.04.2014_KC_7850L_BH12299(C)	-39.72	0.04	-391.62	0.03	4.47	0.22	72	-36.3	5	0.63129254	30	2	0.0008	0.008	-390.12	0.632851837	
Kidd Creek	02.04.2014_KC_7850L_BH12299(D)	-39.72	0.06	-391.62	0.06	4.07	0.26	90	-36.3	5	0.631294915	30	2	0.0008	0.008	-390.12	0.632854218	
Kidd Creek	KC_27.08.2007_7850L_BH12287A(C)	-40.64	0.04	-387.99	0.05	4.36	0.22	77	-36.3	5	0.63506009	30	2	0.0008	0.008	-386.48	0.636628693	
Kidd Creek	KC_20.06.2008_7850L_BH12287A(D)	-40.25	0.08	-396.56	0.05	4.23	0.30	83	-36.3	5	0.626173473	30	2	0.0008	0.008	-395.07	0.627720126	
